Product_name,Price,Ratings
Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Only (Space Grey),Rs.25900,4.7
Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Only (Gold),Rs.25900,4.7
Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi Only (Silver),Rs.33900,4.7
Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi Only (Space Grey),Rs.32900,4.7
Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Space Grey),Rs.41990,4.7
Apple iPad (8th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G (Space Grey),Rs.49900,4.8
Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi Only (Gold),Rs.37900,4.7
Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi Only (Gold),Rs.32900,4.7
Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4G (Space Grey),Rs.54900,4.7
Apple iPad (8th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G (Gold),Rs.41900,4.8
Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi Only (Silver),Rs.32900,4.7
Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G (Space Grey),Rs.38900,4.7
Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 256 GB ROM 11 inch with Wi-Fi+4G (Silver),Rs.94900,4.8
Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G (Space Grey),Rs.46900,4.7
Apple iPad (8th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G (Silver),Rs.41900,4.8
Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4G (Gold),Rs.54900,4.7
Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G (Silver),Rs.48900,4.7
Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G (Gold),Rs.48900,4.7
Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB ROM 11 inch with Wi-Fi+4G (Silver),Rs.112900,4.8
Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi Only (Space Grey),Rs.46900,4.7
Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB ROM 11 inch with Wi-Fi Only (Silver),Rs.98900,4.8
Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G (Gold),Rs.40900,4.7
Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Gold),Rs.44900,4.7
Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi Only (Gold),Rs.46900,4.7
